Age,Sex,L,M,S,T,Percentiles_3,Percentiles_5,Percentiles_10,Percentiles_25,Percentiles_50,Percentiles_75,Percentiles_90,Percentiles_95,Percentiles_97
53,M,0.48,12845,0.25,2.74,7160,7841,8901,10716,12845,15177,17550,19148,20278
54,M,0.49,12755,0.25,2.72,7083,7766,8826,10637,12755,15070,17424,19009,20129
55,M,0.5,12661,0.25,2.7,7004,7688,8748,10554,12661,14959,17293,18863,19973
56,M,0.51,12562,0.25,2.68,6921,7606,8666,10468,12562,14842,17154,18710,19810
57,M,0.53,12457,0.25,2.66,6835,7521,8580,10375,12457,14717,17007,18548,19637
58,M,0.54,12344,0.25,2.64,6745,7432,8490,10277,12344,14584,16851,18376,19455
59,M,0.55,12224,0.25,2.62,6652,7338,8394,10173,12224,14442,16685,18194,19261
60,M,0.56,12096,0.25,2.6,6555,7241,8293,10062,12096,14291,16510,18001,19057
61,M,0.57,11961,0.25,2.58,6455,7140,8188,9946,11961,14133,16325,17800,18844
62,M,0.58,11821,0.25,2.56,6354,7036,8080,9825,11821,13967,16134,17591,18623
63,M,0.59,11676,0.25,2.53,6251,6931,7969,9701,11676,13797,15937,17377,18398
64,M,0.6,11527,0.25,2.51,6147,6824,7856,9573,11527,13622,15735,17158,18168
65,M,0.61,11374,0.25,2.49,6043,6717,7742,9443,11374,13443,15530,16936,17934
66,M,0.62,11218,0.25,2.47,5939,6608,7626,9310,11218,13260,15321,16711,17698
67,M,0.62,11060,0.25,2.45,5835,6500,7509,9176,11060,13075,15109,16483,17459
68,M,0.63,10900,0.25,2.43,5731,6391,7391,9039,10900,12887,14895,16252,17218
69,M,0.63,10737,0.25,2.41,5627,6281,7272,8901,10737,12697,14679,16020,16976
70,M,0.63,10572,0.25,2.39,5523,6172,7152,8762,10573,12505,14460,15786,16731
71,M,0.64,10406,0.25,2.37,5419,6062,7031,8621,10406,12311,14240,15549,16485
72,M,0.64,10238,0.25,2.35,5316,5952,6910,8479,10238,12115,14017,15311,16236
